;캐릭터의 기본능력치와 직업에 따른 수치 테이블
;
;			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
; 구분                 기본   워리어  밴디트  쉐도우  팔라딘  레인저   아처    포쳐    헌터    다크   어쌔신  위저드 드루이드프리스트 패트롤   샤먼   클리딕
;                                             나이트                                          나이트
;--------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
 0 - 힘     (기본)	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
 1 - 지혜   (기본)	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
 2 - 민첩   (기본)	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
 3 - 수련 포인트	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
 4 - 최대HP  (기본)	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
 5 - 최대MP  (기본)	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
 6 - 근거리무기(기본)	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 7 - 원거리무기(기본)	2710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 8 - 기본기술00	10103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 9 - 기본기술01	10112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 - 기본기술02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11 - 기본기술03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12 - 기본기술04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13 - 아이템00(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14 - 아이템01(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15 - 아이템02(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16 - 아이템03(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17 - 아이템04(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18 - 아이템05(기본)	10199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19 - 아이템06(기본)	10220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20 - 아이템07(기본)	10241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 - 아이템08(기본)	10262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22 - 아이템09(기본)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23 - 힘증가%(Exp)	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24 - 지혜증가%(Exp)	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 - 민첩증가%(Exp)	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26 - 매력증가%(Exp)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27 - 근거리증가%(Exp)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28 - 원거리증가%(Exp)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29 - 흑마법증가%(Exp)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 - 백마법증가%(Exp)	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31 - 체력회복율%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32 - 마나회복율%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
