1	1	300
1	190	300
1	610	300
1	1030	300
1	1450	300
1	1870	300
1	2290	300
1	2710	300
1	3130	300
1	3550	300
1	3970	300
1	3991	300
1	4012	300
1	4978	300
1	4999	300
1	5020	300
1	5986	300
1	6007	300
1	6028	300
1	6994	300
1	7015	300
1	7036	300
1	8002	300
1	10103	300
1	10104	300
1	10112	300
1	10113	300
1	10196	360
1	10193	60
1	10194	60
201	2	300
201	191	300
201	611	300
201	1031	300
201	1451	300
201	1871	300
201	2291	300
201	2711	300
201	3131	300
201	3551	300
201	3971	300
201	3992	300
201	4013	300
201	4979	300
201	5000	300
201	5021	300
201	5987	300
201	6008	300
201	6029	300
201	6995	300
201	7016	300
201	7037	300
201	8003	300
201	10103	300
201	10104	300
201	10112	300
201	10113	300
201	10196	360
201	10193	60
201	10194	60
301	3	300
301	192	300
301	612	300
301	1032	300
301	1452	300
301	1872	300
301	2292	300
301	2712	300
301	3132	300
301	3552	300
301	3972	300
301	3993	300
301	4014	300
301	4980	300
301	5001	300
301	5022	300
301	5988	300
301	6009	300
301	6030	300
301	6996	300
301	7017	300
301	7038	300
301	8004	300
301	10103	300
301	10104	300
301	10112	300
301	10113	300
301	10196	360
301	10193	60
301	10194	60
401	4	300
401	193	300
401	613	300
401	1033	300
401	1453	300
401	1873	300
401	2293	300
401	2713	300
401	3133	300
401	3553	300
401	3973	300
401	3994	300
401	4015	300
401	4981	300
401	5002	300
401	5023	300
401	5989	300
401	6010	300
401	6031	300
401	6997	300
401	7018	300
401	7039	300
401	8005	300
401	10103	300
401	10104	300
401	10112	300
401	10113	300
401	10196	360
401	10193	60
401	10194	60
501	5	300
501	194	300
501	614	300
501	1034	300
501	1454	300
501	1874	300
501	2294	300
501	2714	300
501	3134	300
501	3554	300
501	3974	300
501	3995	300
501	4016	300
501	4982	300
501	5003	300
501	5024	300
501	5990	300
501	6011	300
501	6032	300
501	6998	300
501	7019	300
501	7040	300
501	8006	300
501	10103	300
501	10104	300
501	10112	300
501	10113	300
501	10196	360
501	10193	60
501	10194	60
601	6	360
601	195	360
601	615	360
601	1035	360
601	1455	360
601	1875	360
601	2295	360
601	2715	360
601	3135	360
601	3555	360
601	3975	360
601	3996	360
601	4017	360
601	4983	360
601	5004	360
601	5025	360
601	5991	360
601	6012	360
601	6033	360
601	6999	360
601	7020	360
601	7041	360
601	8007	360
601	10196	360
601	10193	60
601	10194	60
601	11996	10
601	11997	10
601	13551	10
601	13552	10
2	211	300
2	631	300
2	1051	300
2	1471	300
2	1891	300
2	2311	300
2	2731	300
2	3151	300
2	3571	300
2	4033	300
2	4348	300
2	4663	300
2	5041	300
2	5356	300
2	5671	300
2	6049	300
2	6364	300
2	6679	300
2	7057	300
2	7372	300
2	7687	300
2	10105	300
2	10114	300
2	10393	300
