3	416	420	4	68	76	0
4	68	76	3	416	420	0
4	439	199	5	62	176	0
5	62	176	4	439	199	0
5	421	65	6	60	332	0
6	60	332	5	421	65	0
6	400	440	7	260	58	0
7	260	58	6	400	440	0
7	420	416	8	270	67	0
8	270	67	7	420	416	0
8	302	422	9	246	74	0
8	402	230	1003	88	444	1
1003	88	444	8	402	230	0
9	120	420	10	382	114	0
9	246	74	8	302	422	0
10	382	114	9	120	420	0
10	203	366	11	320	40	0
11	320	40	10	203	366	0
11	102	424	12	76	64	0
12	76	64	11	102	424	0
12	360	304	13	132	112	0
13	132	112	12	360	304	0
13	416	280	14	60	265	0
14	60	265	13	416	280	0
15	432	428	1003	408	260	1
1003	408	260	15	432	428	0
15	100	50	16	370	430	0
16	370	430	15	100	50	0
16	128	102	17	428	168	0
17	428	168	16	128	102	0
20	100	150	3	416	420	0
31	76	60	20	100	60	0
31	246	440	32	336	72	0
32	244	424	33	384	144	0
32	336	72	31	246	440	0
33	384	144	32	244	424	0
22	108	422	3	423	65	0
3	423	65	22	108	422	0
22	353	77	40	250	455	0
40	250	455	22	353	77	0
33	96	411	23	112	67	0
23	112	67	33	96	411	0
14	448	264	41	443	264	0
41	448	264	14	443	264	0
41	60	265	14	443	264	0
